,explanation,type,word
77,glue; paste ; substance that unites or bonds surfaces together,n. Syn. glue; paste,adhesive
78,adjoining; neighboring; close to; lying near,a. Syn. adjoining; neighboring,adjacent
79,be next to; be contiguous to; border on,v. Syn. attach,adjoin
80,adapt; regulate,v. Syn. adapt; regulate,adjust
81,making or becoming suitable; adjusting to circumstances,n. ,adjustment
82,govern; supervise; give or apply medications,v. Syn. govern; supervise,administer
83,management; supervision; people who are in charge for management; activity of government for powers and duties,n. Syn. management; supervision; executive,administration
84,of or relating to or responsible for administration,a. ,administrative
85,"favorable judgment; feeling of pleasure, wonder, and approval",n. ,admiration
86,regard with wonder or astonishment; view with surprise; marvel at,v. Syn. esteem; appreciate,admire
87,act or practice of admitting; power or permission to enter,n. Syn. admittance; entrance; access,admission
88,permit to enter; receive; provide the right or a means of entrance to,v. ,admit
89,doubtlessly; in an acknowledged manner; confessedly,ad. Syn. doubtlessly; surely,admittedly
90,state of growing up from childhood to manhood or womanhood; transitional period between youth and maturity,n. Syn. youth; juvenescence,adolescence
91,a juvenile between the onset of puberty and maturity;,n. ,adolescent
92,accept; take on; raise; take into one's family,v. Syn. accept,adopt
93,act of accepting with approval,n. ,adoption
94,worship with profound reverence; pay divine honors to; regard with the utmost esteem and affection,v. Syn. idolize; adorn,adore
95,enhance or decorate with or as if with ornaments,v. Syn. decorate,adorn
96,embellishment; decoration; something that beautifies or adorns; ornament,n. Syn. embellishment; decoration,adornment
97,one who has attained maturity or legal age; fully grown,n. ,adult
98,proceed; move forward; improve; moving forward,v. Syn. further; progress,advance
99,improved; highly developed or complex; ahead of the times; progressive,a. ,advanced
100,something happens without design; chance; hazard; risk; danger,n. Syn. risk; venture,adventure
101,valiant; venturesome; inclined or willing to incur hazard or engage in adventures,a. Syn. valiant; venturesome,adventurous
102,opponent in contest; someone who offers opposition,n. Syn. opponent; contestant,adversary
103,in opposing direction; harmful or unfavorable; acting or serving to oppose,a. Syn. unfavorable; hostile,adverse
104,"state of misfortune, hardship, or affliction; misfortune",n. Syn. poverty; misfortune,adversity
105,give notice to; inform or apprise; make known; give public notice of,v. Syn. notify,advertise
106,proper to be advised or to be done; expedient; prudent; ready to receive advice,a. ,advisable
107,"speak, plead, or argue in favour of; plead for; push for something",v. Syn. urge; support,advocate
108,of the air or atmosphere; produced by or found in the air; performed in the air,a. ,aerial
109,have an emotional or cognitive impact upon,v. ,affect
110,fondness; tender feeling toward another; fondness,n. Syn. fondness; love,affection
111,having affection or warm regard; loving; fond; kindly inclined; zealous,a. Syn. loving,affectionate
112,associate; incorporate,v. Syn. associate; incorporate,affiliate
113,assert; confirm,v. Syn. assert; confirm,affirm
114,positive assertion; confirmation; solemn pledge by one who refuses to take an oath,n. Syn. confirmation,affirmation
115,confirmative; ratifying; giving assent or approval; confirming,a. ,affirmative
116,pay; provide; have the financial means for; bear the cost of,v. Syn. pay; risk,afford
117,able to pay for,a. ,affordable
118,a business that serves other businesses; an administrative unit of government,n. ,agency
119,one that acts on behalf of other persons or organizations,n. Syn. representative; delegate; deputy,agent
120,worsen; make worse or more troublesome,v. Syn. worsen; exacerbate,aggravate
121,"gather into a mass, sum, or whole; amount to",v. Syn. gather; accumulate,aggregate
122,several things grouped together or considered as a whole,n. ,aggregation
123,making assaults; unjustly attacking; combative; hostile; tending to spread quickly,a. ,aggressive
124,one that engages in aggression; person who first attacks,n. Syn. attacker; assailant; invader,aggressor
125,cause to move with violence or sudden force; upset; disturb,v. Syn. disturb,agitate
126,anxiety; extreme emotional disturbance,n. Syn. anxiety; disturbance,agitation
127,extreme pain of mind or body; anguish; last struggle of life; death struggle,n. ,agony
128,ready to consent or submit; acceptable,a. Syn. pleasing; acceptable,agreeable
129,"state of agreeing; harmony of opinion, statement, action, or character",n. ,agreement
130,practice of cultivating the land or raising stock,n. ,agriculture
131,person or thing that promotes or helps in something done; helper; assistant,n. ,aid
132,sickness; illness; affliction,n. Syn. sickness; illness; affliction,ailment
133,point or direct towards an object or spot with the intent of hitting it,n. Syn. objective; object; plan,aim
134,be broadcast on television or radio,v. ,air
135,"vehicle that can fly, such as an airplane, helicopter, balloon",n. ,aircraft
136,"passageway between rows of seats, as in an auditorium or an airplane; wing of a building",n. ,aisle
137,half-open; slightly turned or opened,a. ,ajar
138,any sound or information intended to give notice of approaching danger,n. ,alarm
139,"a list of names; a register for visitors; a blank book, in which to insert autographs sketches, memorial writing of friends, photographs",n. ,album
140,warning serves; alarm; condition of heightened watchfulness or preparation for action,n. ,alert
141,"dissimilar, inconsistent, or opposed in nature; very different place, society, or person",a. Syn. strange; unfamiliar; foreign,alien
142,cause to become unfriendly or hostile; transfer property or ownership; isolate or dissociate emotionally,v. Syn. estrange; transfer; separate,alienate
143,arrangement; association; alliance,n. Syn. arrangement; association; alliance,alignment
144,similar; in the same manner or to the same degree,a. Syn. similar; resembling,alike
145,excessively sensitive; susceptible; having an allergy,a. ,allergic
146,hyper sensitivity reaction; abnormally high sensitivity to certain substances,n. ,allergy
147,"state of being allied; act of allying or uniting; a union or connection of interests between families, states, parties",n. ,alliance
148,assign; distribute according to plan,v. Syn. assign,allocate
149,parcel out in parts or portions; distribute to each individual concerned; assign as a share or lot,v. Syn. distribute,allot
150,"approval;  act of allowing, granting, or admitting",n. Syn. authorization; permission,allowance
151,combine; mix; make less pure; lessen or moderate,v. Syn. combine; mix,alloy
152,confederate; partner; collaborator,n. Syn. confederate; partner; collaborator,ally
153,solitary; by oneself,a. Syn. solitary; by oneself,alone
154,by the length; in a line with the length; onward; forward; in company; together,ad. ,along
155,along or by the side; side by side with,ad. ,alongside
156,modify; cause to change; make different; convert,v. Syn. modify; change; convert,alter
157,happening or following in turns; succeeding each other continuously; substitute,a. Syn. substitute,alternate
158,successive change from one thing or state to another and back again,n. ,alternation
159,"one of two or more things, ideas or courses of action that may be used; option; choice",a. ,alternative
160,elevation especially above sea level; height,n. Syn. elevation; height,altitude
161,silvery ductile metallic element,n. ,aluminum
162,"nonprofessional; lacking the skill of a professional, as in an art",a. Syn. nonprofessional; inexpert,amateur
163,astonish; affect with wonder,v. Syn. stun; astonish; shock,amaze
164,wonder; state of extreme surprise or wonder; astonishment,n. Syn. wonder; surprise,amazement
165,authorized messenger or representative,n. ,ambassador
166,state of being ambiguous; doubtfulness or uncertainty,n. ,ambiguity
167,unclear or doubtful in meaning,a. ,ambiguous
168,aspiration,n. Syn. aspiration,ambition
169,aspiring; having a strong desire for success or achievement,a. Syn. aspiring; enterprising,ambitious
170,field hospital organized as to follow an army in its movements; wagon for conveying the wounded to hospital,n. ,ambulance
171,change for the better; improve; remove faults or errors,v. Syn. correct; improve,amend
172,correction; revision,n. Syn. correction; revision,amendment
173,compensation for a loss or injury; recompense; reparation,n. ,amends
174,good-natured and likable; lovable; warmly friendly,a. Syn. agreeable; lovable,amiable
175,exhibiting friendliness or goodwill; not quarrelsome,a. Syn. friendly,amicable
176,in the middle of; among; surrounded by,ad. Syn. among,amid
177,"military stores or provisions; articles used in weapons, as powder, balls, shot, shells",n. Syn. weapon,ammunition
178,total of two or more quantities; aggregate; sum,n. Syn. quantity; sum,amount
179,more than enough in size or scope or capacity; fairly large,a. Syn. abundant,ample
180,addition of extra material or illustration or clarifying detail,n. ,amplification
181,broaden or clarify by expanding; intensify; make larger or more powerful; increase,v. Syn. intensify; increase,amplify
182,"occupy in an agreeable, pleasing, or entertaining fashion; cause laughter or be funny; delude or deceive",v. Syn. absorb; distract; bewilder,amuse
183,similarity in some respects; comparison based on similarity,n. Syn. similarity; parallelism,analogy
184,study; investigation;  process of breaking down a substance into its constituent parts,n. Syn. study; investigation,analysis
185,of analysis; resolving into elements or parts,a. ,analytical
186,diagnose; examine,v. Syn. diagnose; examine; analyze,analyze
187,forefather; forebear; forerunner or predecessor,n. Syn. forefather; forebear,ancestor
188,secure or fasten firmly; be fixed in place; narrate or coordinate,v. Syn. fasten,anchor
189,short account of amusing or interesting event; short narrative; secret story of history or biography,n. Syn. episode; story,anecdote
190,sharp-cornered; consisting of an angle or angles; stiff in manner,a. ,angular
191,endowed with life; alive; living; animated,a. ,animate
192,"act of animating, or giving life or spirit; state of being animate or alive.",n. ,animation
193,joint which connects the foot with the leg; tarsus,n. ,ankle
194,append or attach; take possession of; incorporate into an existing political unit,v. Syn. attach,annex
195,annual; yearly; annual return of the day on which any notable event took place,a. ,anniversary
196,herald; give out; proclaim; make known publicly,v. Syn. herald; proclaim,announce
197,formal public statement; act of making known publicly,n. ,announcement
198,one who proclaims a message publicly,n. ,announcer
199,"disturb, especially by minor irritations; irritate",v. Syn. disturb; irritate,annoy
200,occurring or payable every year,a. ,annual
201,yearly; each year; returning every year; year by year,ad. Syn. yearly,annually
202,"active resistance; condition of being an opposing principle, force, or factor",n. Syn. hostility; enmity,antagonism
203,"one who contends with another, especially in combat; an adversary; opponent",n. ,antagonist
204,opposite to the northern or arctic pole; relating to the southern pole or to the region near it,a. ,antarctic
205, of or relating to chemical substance that kills microorganisms and cures infections,a. Syn. antibacterial,antibiotic
206, act in advance of; deal with ahead of time; predict,v. Syn. expect; predict,anticipate
207,something expected; pleasurable expectation; wishing with confidence,n. Syn. expectation,anticipation
208,any furniture old and valuable; out of fashion ,n. Syn. relic; curio,antique
209,word of opposite meaning; counter term,n. ,antonym
210,concern something  in state of painful uneasiness;  state of restlessness and agitation,n. ,anxiety
211,eager; keen; worried; uneasy and apprehensive about an uncertain event or matter,a. Syn. eager; keen; worried,anxious
212,in any way or manner whatever; at any rate; in any event,ad. ,anyhow
213,"separately, in regard to space or company; in a state of separation as to place; aside",ad. ,apart
214,"imitate; mimic, as an ape imitates human actions",v. Syn. imitate,ape
215,beg pardon,v. ,apologize
216,acknowledgment expressing regret or asking pardon for a fault or offense; explanation or excuse,n. Syn. regret,apology
217,a group of parts that work together to perform given function; appliance or device for particular purpose,n. Syn. equipment,apparatus
218,"capable of being seen, or easily seen; open to view; visible to eye",a. Syn. visible,apparent
219,attraction; charm; attract; fascinate; challenge,n. Syn. attraction; charm,appeal
220,attractive; charming,a. Syn. attractive; charming,appealing
221,something appended or added,n. Syn. appendage; adjunct; concomitant,appendix
222,"instinctive physical desire, especially one for food or drink",n. Syn. desire,appetite
223,"acclaim; express approval, especially by clapping the hands",v. Syn. clap; acclaim,applaud
224,durable goods for home or office use; device or instrument for household use,n. ,appliance
225,capable of being applied; fit or suitable to be applied; having relevance,a. ,applicable
226,candidate,n. Syn. candidate,applicant
227,close attention; work of applying something; verbal or written request for assistance,n. Syn. diligence,application
228,exert; put into service; avail oneself to;,v. Syn. exert,apply
229,designate; nominate,v. Syn. designate; nominate,appoint
230,act of putting a person into a non-elective position; arrangement,n. Syn. arrangement,appointment
231,considerable; perceptible,a. Syn. considerable; perceptible,appreciable
232,be thankful for; increase in worth; be thoroughly conscious of,v. Syn. admire; value,appreciate
233,"recognition; taste; judgment or opinion, especially a favorable one",n. Syn. recognition; taste,appreciation
234,having or showing a just or ready appreciation or perception,a. ,appreciative
235,works for an expert to learn a trade; beginner; learner,n. ,apprentice
236,access; method,n. Syn. access; method,approach
237,acquire; take possession of for one's own use; set apart for specific use,v. Syn. acquire; allocate,appropriate
238,official approbation; endorsement; act of approving,n. Syn. sanction; endorsement,approval
239,ratify; consider right or good; think or speak favorably of,v. Syn. ratify,approve
240,approach; come near,v. Syn. approach,approximate
241,about; roughly,ad. Syn. about; roughly,approximately
242,likely; exactly suitable; appropriate; quick to learn or understand,a. Syn. appropriate; suitable,apt
243,inherent ability; quickness in learning and understanding,n. Syn. intelligence; talent,aptitude
244,"randomly chosen; determined by chance or impulse, and not by reason or principle",a. Syn. capricious; impulse,arbitrary
245,someone chosen to judge and decide disputed issue;  one having power to make authoritative decisions,n. Syn. judge; arbiter,arbitrator
246,continuous portion of a circle; something curved in shape ,n. ,arc
247,any part of a curved line,n. ,arch
248,study of artifacts and relics of early mankind,n. ,archaeology
249,one who designs and supervises the construction of buildings or other large structures,n. ,architect
250,art and science of designing and erecting buildings; buildings and other large structures,n. ,architecture
251,displaying or by strong enthusiasm or devotion; passionate,a. Syn. intense; passionate; zealous,ardent
252,demanding great effort or labor; difficult,a. Syn. hard; strenuous,arduous
253,"plane surface, as of the floor of a room; open space in a building; the enclosed space; extent; scope; range",n. ,area
254,playing field where sports events take place; large structure for open-air sports or entertainments,n. ,arena
255,"invent and offer reasons to support or overthrow a proposition, opinion, or measure; debate",v. ,argue
256,come up from a lower to a higher position; come above the horizon; spring up; come into action,v. Syn. spring,arise
257,hereditary nobility; privileged class,n. ,aristocracy
258,one of the aristocracy or people of rank in a community; one of a ruling class; a noble,n. ,aristocrat
259,theory of numerical calculations,n. ,arithmetic
260,"defensive covering, as of metal, wood, or leather, worn to protect the body against weapons",n. ,armour
261,weapons considered collectively; official symbols of a family,n. Syn. weapon,arms
262,excite; stimulate; awaken from or as if from sleep,v. Syn. excite; stimulate; awake,arouse
263,"put in proper order; dispose in the manner intended, or best suited for the purpose",v. Syn. plan; schedule,arrange
264,composition; order,n. Syn. composition; order,arrangement
265,set out for display or use; place in orderly arrangement,v. Syn. marshal,array
266,stop or slow down; catch someone's attention; take into custody,v. ,arrest
267,"overbearing pride; haughtiness; manifest feeling of personal superiority in rank, power, or estimation",n. Syn. pride; haughtiness,arrogance
268,arising from feeling or assumption of one's superiority toward others,a. Syn. overbearing; lofty,arrogant
269,essay; editorial; individual thing or element of a class,n. Syn. essay; editorial,article
270,made by humans; produced rather than natural.,a. Syn. unreal,artificial
271,climb; mount,v. Syn. climb; mount,ascend
272,find out for certain; discover with certainty; make sure of,v. Syn. discover; insure,ascertain
273,"inscribe or dedicate; attribute to a specified cause, source, or origin; assign as a quality",v. Syn. refer; attribute; assign,ascribe
274,affected by shame; abashed or confused by guilt,a. ,ashamed
275,"on, or to, one side; out of a straight line, course, or direction; at a little distance from the rest",ad. ,aside
276,distinct feature or element in a problem; a way in which something can be viewed by the mind,n. Syn. respect; facet,aspect
277,white crystalline compound drug to relieve pain and reduce fever and inflammation,n. ,aspirin
278,act of assassinating; killing by treacherous violence; murder of public figure by surprise attack,n. ,assassination
279,attack; onslaught,n. Syn. attack; onslaught,assault
280,put together; bring or call together into a group or whole,v. Syn. gather,assemble
281,gathering; meeting; a group of persons gathered together for common reason,n. Syn. gathering; meeting,assembly
282,declare or state with confidence; put oneself forward boldly,v. Syn. declare,assert
283, estimate  value; judge worth of something,v. Syn. estimate; judge,assess
284,act of judging or assessing; amount determined as payable,n. Syn. evaluation; judgment,assessment
285,appoint; allot; make over; point out authoritatively or exactly,v. Syn. appoint; allot,assign
286,task given to students; job; distribution; appointment,n. Syn. task; job,assignment
287,"give help or support to, especially as a subordinate",v. Syn. help,assist
288,activity of contributing to fulfillment of a need or furtherance of an effort or purpose,n. ,assistance
289,helper; person who assists or helps someone else,n. Syn. helper; aide,assistant
290,connect or join together; combine,v. Syn. pertain; connect,associate
291,"connection, whether of persons of things; union of persons in a company or society for some particular purpose",n. Syn. alliance; connection,association
292,varied; miscellaneous,a. Syn. varied; miscellaneous,assorted
293,variety; collection containing a variety of sorts of things,n. Syn. variety; conglomerate,assortment
294,suppose; presume; take on; bear,v. Syn. suppose; presume,assume
295,something taken for accepted as true without proof; taking over or taking possession of,n. Syn. hypothesis; supposition,assumption
296,promise or pledge; certainty; self-confidence; freedom from doubt,n. Syn. certainty; confidence; insurance; guaranty,assurance
297,solidify; guarantee; convince,v. Syn. solidify; guarantee; convince,assure
298,made sure; exhibiting confidence or authority; indubitable,a. ,assured
299,surprise; shock,v. Syn. surprise; shock,astonish
300,affect with wonder; surprise; shock,v. Syn. surprise; shock,astound
301,"away from the correct path or direction, either in a literal or in a figurative sense; wandering",a. ,astray
302,a physicist who studies astronomy,n. ,astronomer
303,enormously large or extensive; relating to astronomy,a. Syn. celestial,astronomical
304,branch of physics that studies celestial bodies and universe as a whole,n. ,astronomy
305,sports man; one who contended for prize in public games,n. ,athlete
306,"a bound volume of maps, charts, or tables",n. ,atlas
307,air,n. Syn. air,atmosphere
308,a tiny piece of anything; the smallest component of an element having the chemical properties of the element,n. ,atom
309,of or relating to or comprising atoms; immeasurably small,a. ,atomic
310,fasten; annex; be in contact with,v. Syn. fasten; annex,attach
311,"a bond, as of affection or loyalty; fond regard; supplementary part; accessory",n. Syn. preference; affection,attachment
312,offensive move; expression of strong criticism; hostile comment,n. ,attack
313,achieve or accomplish; gain,v. Syn. gain,attain
314,action of trying at something,n. Syn. try; endeavor; effort,attempt
315,be present at; go to; take care of; tend,v. ,attend
316,act of being present,n. ,attendance
317,aide; servant; accompanying; person who participates in a meeting,n. Syn. aide; servant,attendant
318,"act or state of attending or heeding; application of the mind to any object of sense, representation, or thought",n. Syn. concentration; care,attention
319,alert and watchful; considerate; thoughtful,a. Syn. considerate; thoughtful,attentive
320,"story or room directly below the roof of a building, especially a house;",n. ,attic
321,"posture, action, or disposition of a figure or a statue",n. ,attitude
322,lawyer; one who is appointed by another to act in his place or stead; proxy,n. Syn. lawyer,attorney
323,"draw to, or cause to tend to; engage or fix, as the mind, attention; invite or allure",v. Syn. lure; allure,attract
324,appeal; a characteristic that provides pleasure and attracts ,n. Syn. affinity; appeal,attraction
325,essential quality; reputation; honor,n. Syn. trait,attribute
326,public sale of property to the highest bidder,n. ,auction
327,a group of people within hearing; crowd seeing a stage performance,n. Syn. spectator; viewer,audience
328,area of theater or concert hall where audience sits,n. ,auditorium
329,impressive; majestic; inspiring awe or admiration,a. Syn. impressive; majestic; grand,august
330,"beginner, former, or first mover of anything; creator; originator; one who composes or writes book or composer",n. ,author
331,"jurisdiction; power to enforce laws, exact obedience, command, determine, or judge; government",n. Syn. jurisdiction; power,authority
332,act of giving authority or legal power; establishment by authority; sanction or warrant,n. ,authorization
333,empower; give permission for; sanction,v. Syn. empower; sanction,authorize
334,biography or story written by yourself,n. ,autobiography
335,replace or enhance human labor with machines,v. ,automate
336,mechanized; operating with minimal human intervention; independent of external control,a. Syn. automated; mechanized; involuntary,automatic
337,"act or process of converting the controlling of a machine or device to a more automatic system, such as computer or electronic controls",n. ,automation
338,self-propelled vehicle suitable for use on street or roadway,n. ,automobile
339,self-governing; not controlled by others or by outside forces; independent,a. ,autonomous
340,independence; self-government or the right of self-government; self-determination,n. Syn. independence; liberty,autonomy
341,"helper, additional or subsidiary",a. Syn. aiding; supplementary,auxiliary
342,turn to advantage of; be of service to; profit; promote,v. Syn. profit; promote,avail
343,"convenient for use or disposal; not busy, free; obtainable; accessible",a. Syn. free,available
344,"take vengeance for something, or on behalf of someone",v. ,avenge
345,way or opening for entrance or exit place; passage by which a place may be reached; broad street,n. ,avenue
346,typical; mean; achieve or reach on average,a. Syn. typical; mediocre,average
347,art or science of flying; flight; aeronautics,n. Syn. flying; flight; aeronautics,aviation
348,shield away from; prevent,v. Syn. shun; prevent,avoid
349,knowing; having knowledge or cognizance,a. ,aware
350,"mixed emotion of reverence, respect, dread, and wonder; fear, as of something evil",n. Syn. dread; admiration; amazement,awe
351,"causing fear, dread, or terror; extremely bad or unpleasant; terrible",a. Syn. terrible,awful
352,difficult to handle or manage,a. Syn. clumsy; inept,awkward
353,"in an uncomfortable, nervous or embarrassed way",ad. ,awkwardly
354,the center around which something rotates; pivot,n. Syn. shaft; pivot,axis
355,"pin or spindle on which a wheel revolves, or which revolves with a wheel; transverse bar or shaft connecting the opposite wheels of a car or carriage",n. ,axle
0,person engaged to care for children when the parents are not home,n. ,baby-sitter
1,unmarried men; the first or lowest academic degree conferred by universities and colleges,n. ,bachelor
2,support; mainstay; vertebrate spine or spinal column,n. Syn. support; mainstay,backbone
3,directed to the back or rear; unwilling; averse; reluctant; hesitating; undeveloped,a. ,backward
4,back and sides of a pig salted and smoked,n. ,bacon
5,single celled organism with no nucleus,n. ,bacterium
6,"distinctive mark, token, or sign worn on the person",n. ,badge
7,game played on a court with light long-handled rackets,n. ,badminton
8,frustrate as by confusing or perplexing; impede force or movement of,v. Syn. frustrate; perplex,baffle
9,"trunks, bags, parcels, and suitcases in which one carries one's belongings while traveling; luggage",n. Syn. luggage; packing,baggage
10,"harass; tease; lure, entice, or entrap",v. Syn. harass; tease,bait
11,"prepare, as food, by cooking in a dry heat, either in an oven or under coals, or on heated stone or metal",v. ,bake
12,being in equilibrium; equilibrium; symmetry; stability,n. Syn. equilibrium; symmetry; stability,balance
13,platform projecting from the wall of a building,n. ,balcony
14,hairless; lacking a natural or usual covering,a. Syn. hairless,bald
15,a sort of theatrical representation by dancers ,n. ,ballet
16,large non-rigid bag filled with gas or heated air,n. ,balloon
17,large room used mainly for dancing,n. ,ballroom
18,"plant of the family of grasses, and genus Bambusa, growing in tropical countries",n. ,bamboo
19,orchestra; team; strip; ribbon; belt; unite; ally,n. Syn. orchestra; team,band
20,"strip of woven material, used in dressing and binding up wounds",n. ,bandage
21,a vigorous blow; a conspicuous success,n. ,bang
22,person in charge of the bank in a gambling game; one who owns or is an executive in a bank,n. ,banker
23,"penniless, without any money; financially ruined",a. ,bankrupt
24,flag; sign; a newspaper headline that runs across the full page,n. Syn. flag; sign,banner
25,feast; entertainment of eating and drinking,n. Syn. feast,banquet
26,a counter where you can obtain food or drink; cafe; strip; stick,n. Syn. caf‚,bar
27,haircutter; one whose business is to cut hair and to shave or trim beards,n. Syn. haircutter; shaver,barber
28,lacking the usual or appropriate covering or clothing,a. Syn. naked; nude,bare
29,just; only; hardly; scarcely,ad. Syn. just; only,barely
30,agreement between parties concerning the sale of property,n. ,bargain
31,"flatboat; long, large boat for transporting freight that is unpowered and towed or pushed by other craft",n. Syn. flatboat,barge
32,sound made by a dog; harsh sound uttered by a dog,n. Syn. yelp; howl,bark
33,an outlying farm building for storing grain or animal feed and housing farm animals,n. ,barn
34,instrument for determining the weight or pressure of the atmosphere,n. ,barometer
35,title or degree of nobility,n. ,baron
36,vessel; large cylindrical container,n. Syn. vessel,barrel
37,desolate; fruitless and unproductive; lacking,a. Syn. desolate,barren
38,obstacle; structure built to bar passage; boundary or limit,n. Syn. obstacle; hindrance; hurdle,barrier
39,trade goods or services without the exchange of money,v. Syn. trade; exchange,barter
40,game played with a bat and ball by two opposing teams of nine players; ball used in this game,n. ,baseball
41,cellar; storage room,n. Syn. cellar,basement
